English,Polish
hid,ukryć
wailing,zawodzenie
listened,Słuchałem
countries,Państwa
vic,Vic
yell,krzyk
rats,szczury
wondered,Zastanawiał się
smooth,gładki
resist,oprzeć się
companies,firmy
fantasy,Fantazja
passport,paszport
pitch,poziom
hammer,młotek
homicide,zabójstwo
casey,Casey
holds,trzyma
flew,latał
jacob,Jakub
noon,południe
helicopter,śmigłowiec
dishes,dania
spin,kręcić się
charm,czar
slap,policzkować
apply,stosować
fools,głupcy
screeching,pisk
discover,odkryć
previous,poprzedni
kit,zestaw
authorities,władze
moaning,beczenie
photograph,fotografia
sales,obroty
fifty,pięćdziesiąt
mickey,Mickey
beneath,pod
farewell,pożegnanie
clouds,chmury
slipped,poślizgnął
represent,przedstawiać
deaf,głuchy
facing,okładzina
offense,wykroczenie
citizen,obywatel
clown,błazen
snap,pstryknąć
messing,bałagan
hood,kaptur
twelve,dwanaście
interests,zainteresowania
cheated,oszukany
liz,Liz
informed,powiadomiony
humanity,ludzkość
producer,producent
technically,technicznie
accounts,Konta
extreme,skrajny
gettin,Gettin
cia,CIA
ii,ii
pays,płaci
profile,profil
oxygen,tlen
jeez,Jezu
gene,gen
shed,szopa
minor,drobny
ex,były
theatre,teatr
scientific,naukowy
lovers,zakochani
chaos,chaos
l.a.,la.
rocket,rakieta
math,matematyka
stubborn,uparty
august,sierpień
oi,oi
chips,frytki
intense,intensywny
grey,szary
talkin,Talkin
terrorist,terrorysta
angle,kąt
invitation,zaproszenie
gus,Gus
gambling,hazard
respond,reagować
thirty,trzydzieści
procedure,procedura
absolute,absolutny
investigate,zbadać
tragedy,tragedia
stable,stabilny
session,sesja
capture,schwytać
marrying,poślubienie
ripped,podarte
attacks,ataki
stretch,rozciągać się
bush,krzak
dates,Daktyle
unable,niezdolny
gates,bramy
mars,Mars
artists,Artyści
increase,zwiększyć
tastes,smak
cared,dbał
bottles,butelki
highest,najwyższy
whirring,WHIRRING
meanwhile,Tymczasem
nate,Nate
grabbed,chwyciła
pigs,wieprzowy
chop,siekać
olivia,Olivia
wheels,koła
shocked,wstrząśnięty
reverend,czcigodny
commercial,handlowy
escort,eskorta
engagement,zaręczyny
corpse,zwłoki
louise,Louise
worthy,godny
scale,skala
beats,Beats
williams,Williams
threatening,groźny
exists,istnieje
academy,akademia
acts,dzieje
hop,chmiel
judges,sędziowie
furniture,meble
shared,wspólny
ralph,Ralph
consequences,konsekwencje
engineer,inżynier
schools,szkoły
softly,delikatnie
bombs,Bomby
caroline,Karolina
shark,rekin
transport,transport
population,populacja
succeed,odnieść sukces
creepy,dziwny
sneak,skradać się
studies,studia
destruction,zniszczenie
keith,Keith
protected,chroniony
monsters,potwory
joining,łączący
punished,ukarany
lightning,Błyskawica
malcolm,Malcolm
shell,powłoka
fascinating,fascynujący
chamber,izba
ethan,Ethan
romance,romans
instance,instancja
jumping,skoki
groups,grupy
exhausted,wyczerpany
testify,świadczyć
studied,badane
walker,piechur
pin,szpilka
imagined,wyobrażone
drill,wiertarka
investigating,badanie
ye,człek
experienced,doświadczony
elena,Elena
necklace,naszyjnik
loyalty,lojalność
junk,graty
cole,kapusta
cries,płacz
stanley,Stanley
rita,Rita
southern,południowy
blocks,Bloki
emotions,emocje
begun,Zaczął
maya,Maya
liver,wątroba
serving,porcja
matches,mecze
surgeon,chirurg
granted,nadany
jazz,jazz
july,lipiec
supplies,zaopatrzenie
deeper,głębiej
typical,typowy
kicking,kopanie
obey,przestrzegać
dancer,tancerz
remote,zdalny
daughters,córki
moron,kretyn
latin,łacina
teachers,nauczyciele
toby,Toby
sandy,piaszczysty
dragged,przeciągnięte
strategy,strategia
parent,rodzic
jin,Jin
album,album
compared,porównywany
rubbish,śmieci
helpful,pomocny
powder,proszek
sync,synchronizacja
bum,tyłek
passes,Karnety
joan,Joan
fort,fort
choices,wybory
alley,aleja
supper,kolacja
penis,penis
alibi,alibi
sammy,Sammy
pole,Polak
coke,koks
scientist,naukowiec
fighter,wojownik
highway,Autostrada
blade,ostrze
alpha,alfa
diet,dieta
liquor,trunek
jet,strumień
widow,wdowa
liberty,wolność
philip,Philip
moral,morał
carrie,Carrie
award,nagroda
grief,smutek
thirsty,spragniony
ashley,Ashley
random,losowy
suspects,podejrzani
intention,zamiar
julian,juliański
active,aktywny
tools,narzędzia
driven,napędzany
trauma,uraz
headache,ból głowy
safely,bezpiecznie
alexander,Aleksander
knee,kolano
lads,chłopaki
novel,powieść
conversations,rozmowy
waters,fale
lookin,wygląd
invisible,niewidzialny
internal,wewnętrzny
peaceful,spokojny
humming,brzęczący
washed,umyty
drives,Drives
talented,utalentowany
li,Li
aid,pomoc
elephant,słoń
troubles,kłopoty
core,rdzeń
serial,seryjny
s-,S-
painted,namalowany
the,.
divine,boski
jam,dżem
goat,koza
opera,opera
thieves,złodzieje
guessing,Zgadnij
objection,sprzeciw
whiskey,whisky
florida,Floryda
resistance,opór
dressing,ubieranie się
attached,przyłączony
aaron,Aaron
brief,krótki
punish,karać
eternal,wieczny
lois,Lois
and,I
required,wymagany
victoria,Wiktoria
fabulous,wspaniały
twins,Bliźnięta
characters,postacie
cooked,gotowany
ln,Ln
ruth,litość
dreamed,Marzyłem
arts,sztuka
naughty,niegrzeczny
stabbed,dźgnięty
tend,mieć skłonności
diane,Diane
tap,uzyskiwać
soap,mydło
locker,Szafka
development,rozwój
images,obrazy
prick,ukłucie
global,światowy
string,strunowy
bitter,gorzki
sharing,dzielenie się
corn,kukurydza
craig,Craig
fits,Pasuje
tent,namiot
forms,form
votes,głosy
harold,Harold
propose,zaproponować
monica,Monica
constantly,stale
granny,babunia
nicely,ładnie
nerves,nerwowość
arguing,kłótnia
abuse,nadużywać
relatives,krewni
survival,przetrwanie
gloves,rękawice
tracking,śledzenie
zoe,Zoe
u,u
bend,schylać się
review,recenzja
connect,łączyć
separated,rozdzielony
elder,starszy
beard,broda
admiral,admirał
diana,Diana
salary,wynagrodzenie
areas,obszary
disturb,przeszkadzać
pro,zawodowiec
maintain,utrzymywać
solved,rozwiązany
wealth,bogactwo
bitches,suki
possession,posiadanie
sang,śpiewał
gimme,dawaj
plates,talerze
shoulders,ramiona
burnt,spalony
recorded,nagrany
upper,górny
counts,liczy
tale,opowieść
profit,zysk
colleague,kolega z pracy
warehouse,magazyn
hostage,zakładnik
shore,brzeg
porn,porno
miami,Miami
fifteen,piętnaście
visitors,goście
bo,Bo
net,internet
insult,znieważenie
owen,piekarnik
cities,miasta
causing,spowodowanie
lemon,cytrynowy
heal,leczyć
banging,Walczenie
honeymoon,Miesiąc miodowy
appeal,odwołanie
marshall,Marshall
critical,krytyczny
creating,tworzenie
scotland,Szkocja
crane,dźwig
enormous,ogromny
testimony,świadectwo
praise,pochwała
fights,walki
indians,Hindusi
commission,zamawiać
growls,warczy
nicole,Nicole
sins,grzechy
fraud,oszustwo
branch,oddział
happily,szczęśliwie
bout,atak
covering,pokrycie
occurred,wystąpił
beans,fasolki
raw,surowy
muscle,mięsień
pages,strony
tense,napięty
relationships,relacje
management,kierownictwo
assignment,zadanie
blonde,blond
catching,uchwyt
exposed,narażony
canada,Kanada
dont,Dont
han,Han
von,von
comedy,komedia
marco,Marco
stroke,udar
whistling,gwizdanie
buildings,Budynki
shaking,drżący
p.m.,po południu
facility,obiekt
appropriate,odpowiedni
remarkable,niezwykły
transferred,przeniesiony
drawn,pociągnięty
tits,cycki
clicking,kliknięcie
symbol,symbol
motor,silnik
employees,pracownicy
ambassador,ambasador
mothers,Matki
pile,stos 
feeding,karmienie
soda,Soda
checks,czeki
bears,Niedźwiedzie
cookies,ciasteczka
slut,chlapa
awfully,strasznie
stepped,nadepnął
toys,zabawki
levels,poziomy
differently,różnie
magnificent,wspaniały
steak,stek
tube,rura
leaders,przywódcy
superior,znakomity
herr,Herr
pan,patelnia
expression,wyrażenie
currently,obecnie
throne,tron
deadly,śmiertelnie
bee,pszczoła
tooth,ząb
depressed,przygnębiony
potatoes,ziemniaki
wicked,podły
resources,zasoby
native,rodzinny
centuries,wieki
karl,Karl
poetry,poezja
multiple,wiele 
cable,kabel
shortly,wkrótce
buzz,brzęczeć
socks,skarpety
fingerprints,odciski palców
goddess,bogini
chin,podbródek
anxious,niespokojny
september,wrzesień
colors,zabarwienie
basketball,Koszykówka
promises,obietnice
explained,wyjaśnione
appearance,wygląd
musical,musical
sends,wysyła
slide,slajd
aii,aii
shawn,Shawn
ultimate,ostateczny
pork,wieprzowina
communication,Komunikacja
payment,Zapłata
structure,Struktura
paperwork,Papierkowa robota
obsessed,Obsesja
lazy,leniwy
russians,Rosjanie
actors,aktorzy
squeeze,ściskać
magical,magiczny
colleagues,współpracownicy
admire,podziwiać
madness,szaleństwo
roads,drogi
entry,wejście
injury,obrażenia
burden,ciężar
racing,wyścigi
manner,sposób
freezing,zamrażanie
bits,bity
norman,Norman
mount,uchwyt
battery,bateria
dessert,deser
pound,funt
visited,odwiedzone
motel,motel
rumbling,dudnienie
cinema,kino
fond,czuły
halfway,W połowie drogi
rifle,karabin
reception,przyjęcie
statue,statua
fridge,lodówka
brick,cegła
abandon,opuścić
lap,okrążenie
natalie,Natalie
wars,Wojny
recommend,polecić
brush,szczotka
nelson,Nelson
pill,pigułka
concept,pojęcie
w,w
delay,opóźnienie
quarters,mieszkanie
korea,Korea
janet,Janet
rub,pocierać
mall,centrum handlowe
soil,gleba
complaint,skarga
sail,żagiel
baker,piekarz
coughs,kaszel
bucket,wiaderko
description,opis
badge,odznaka
measure,mierzyć
hip,biodro
function,funkcjonować
indistinctly,niewyraźnie
harris,Harris
foundation,Fundacja
labor,praca
willie,Willie
waiter,kelner
homeless,bezdomny
proved,udowodnione
unfortunate,niefortunny
log,dziennik
meetings,spotkania
giggles,chichot
combat,walka
poem,wiersz
polish,polski
handed,wręczone
mia,Mia
weed,chwast
raymond,Raymond
tons,mnóstwo
satellite,satelita
jersey,golf
eagle,orzeł
privacy,Prywatność
chapter,rozdział
treating,leczenie
wisdom,mądrość
flip,trzepnięcie
entering,wstępowanie
barn,stodoła
farmer,rolnik
clan,klan
budget,budżet
pub,pub
temporary,tymczasowy
effective,skuteczny
sonny,synek
wendy,Wendy
juan,Juan
lamb,jagnięcina
plot,działka
riley,Riley
proposal,wniosek
sticks,patyki
searched,przeszukane
blessing,błogosławieństwo
rage,wściekłość
bothered,przeszkadzało
sydney,Sydnej
basis,podstawa
manners,maniery
recover,odzyskiwać
twist,skręcać
neil,Neil
leak,przeciek
item,przedmiot
catholic,katolicki
sighing,Wzdychanie
retired,emerytowany
kings,Królowie
inner,wewnętrzny
cents,centy
affect,oddziaływać
forbidden,zabroniony
patch,skrawek
drops,krople
necessarily,koniecznie
provided,"pod warunkiem, że"
meters,metry
booked,Zarezerwowane
returns,zwroty
gloria,Gloria
fires,pożary
humor,humor
torn,rozdarty
e-mail,e-mail
rocky,skalisty
introduced,wprowadzone
creative,twórczy
betray,zdradzać
soviet,radziecki
various,różny
added,dodany
discovery,odkrycie
cowboy,kowboj
suspected,Podejrzewane
suggested,zasugerował
delighted,zachwycony
sticking,klejący
dive,nurkować
shane,Shane
radar,radar
prosecutor,prokurator
amber,bursztyn
vast,rozległy
quinn,Quinn
owned,własność
cookie,ciastko
finest,najlepsza
felix,Felix
pump,pompa
valentine,cicha sympatia
counter,lada
sorts,Sorts
coin,moneta
warren,królikarnia
slaves,niewolnicy
marine,morski
illness,choroba
sack,worek
bid,oferta
require,wymagać
moscow,Moskwa
largest,Największa
washing,mycie
achieve,osiągnąć
causes,powoduje
k,k
mo,mo
dope,narkotyk
nest,gniazdo
palm,palma
logan,Logan
constant,stały
b.,B.
boo,gwizd
medication,lek
gravity,powaga
booze,gorzałka
noah,Noah
evan,Evan
abroad,za granicą
christine,Christine
rising,rosnący
analysis,analiza
cuts,cięcia
eats,jedzenie
employee,pracownik
vodka,wódka
damaged,uszkodzony
solar,słoneczny
height,wysokość
pops,wyskakuje
yards,jardy
terrified,przerażony
suitcase,walizka
chemical,chemiczny
preparing,przygotowanie
advanced,zaawansowany
fund,fundusz
wears,nosi
chirping,ćwierkanie
web,sieć
phase,faza
prom,bal studencki
suggesting,sugestia
fleet,flota
lame,kiepski
irish,Irlandczyk
editor,redaktor
october,październik
assumed,przypuszczalny
whip,bicz
mel,Mel
region,region
amongst,wśród
temper,hartować
discussion,dyskusja
engines,silniki
operate,działać
sunshine,światło słoneczne
acted,działał
undercover,tajny
horror,przerażenie
tested,przetestowany
smash,rozbić
contrary,przeciwnie
roses,róże
poker,poker
wrapped,owinięty
korean,koreański
graham,Graham
mi,mi
fu,Fu
ivan,Ivan
focused,skupiony
liam,Liam
tragic,tragiczny
carla,Carla
demons,Demony
rounds,rundy
entertainment,rozrywka
gathered,Zebrane
uhh,uhh
yells,krzyczy
lincoln,Lincoln
crossing,przejście
blanket,koc
nut,orzech
travis,Travis
pockets,kieszenie
limited,ograniczony
paintings,obrazy
sober,trzeźwy
caesar,Cezar
sis,siostra
intended,przeznaczony
niece,siostrzenica
computers,komputery
tennis,tenis
needle,igła
chicks,pisklęta
traditional,tradycyjny
delicate,delikatny
independent,niezależny
leslie,Leslie
lauren,Lauren
grandson,wnuk
repair,naprawa
a.,A.
brandon,Brandon
executive,wykonawczy
colin,Colin
recognized,rozpoznane
holmes,Holmes
regarding,w sprawie
weakness,słabość
aliens,kosmici
gunshots,strzały z broni palnej
european,europejski
method,metoda
tool,narzędzie
demands,wymagania
permit,zezwolenie
towel,ręcznik
daisy,stokrotka
nowadays,Obecnie
spider,pająk
northern,północny
rangers,Strażnicy
zoo,ogród zoologiczny
praying,Modląc się
antonio,Antonio
passengers,pasażerowie
con,kon
australia,Australia
technique,technika
cellphone,komórka
gently,łagodnie
operations,Operacje
planes,samoloty
bunny,królik
gunfire,obstrzał
shining,świecący
backwards,wstecz
skill,umiejętność
uh-,uh-
baron,baron
kidnapping,porwanie
iike,Ja
marshal,marszałek
petty,drobiazgowy
sealed,zapieczętowany
massage,masaż
raising,wychowywanie
menu,menu
diary,dziennik
fucker,skurwień
wagon,wóz
audition,przesłuchanie
mitch,Mitch
mexican,Meksykańskie
casino,kasyno
bacon,boczek
diego,Diego
dutch,holenderski
promotion,awans
click,Kliknij
forgiveness,przebaczenie
burst,pękać
permanent,stały
interfere,ingerować
chanting,śpiew
dammit,cholera
spencer,Spencer
recovered,odzyskany
registered,zarejestrowany
sunny,słoneczny
packing,uszczelka
scenes,sceny
superman,nadczłowiek
questioning,pytający
unfair,niesprawiedliwy
admitted,przyznał
ancestors,przodkowie
polite,grzeczny
completed,zakończony
swallow,połykać
conduct,prowadzić
prayers,modły
sheet,arkusz
fried,smażony
avenue,aleja
poisoned,zatruty
reverse,odwracać
newspapers,Gazety
ford,bród
complaining,narzekanie
senses,rozsądek
investment,inwestycja
absurd,absurdalny
potato,Ziemniak
understands,rozumie
grows,rośnie
inspired,natchniony
ruby,rubin
celebrating,Świętowanie
tag,etykietka
ram,Baran
requires,wymaga
bonnie,Bonnie
bugs,błędy
leonard,Leonard
elliot,Elliot
hooked,haczykowaty
jill,Jill
ranch,ranczo
safer,bezpieczniejsze
worn,noszony
crashing,awaria
lands,ziemie
heather,wrzos
ash,popiół
leather,skóra
grounds,fusy
assuming,zarozumiały
nails,paznokcie
dana,Dana
conspiracy,spisek
thanksgiving,święto Dziękczynienia
pierre,Pierre
guardian,opiekun
rumors,plotki
yen,jen
megan,Megan
ashes,proch
terror,terror
misunderstanding,nieporozumienie
tire,opona
boats,łodzie
parade,parada
halt,postój
immunity,odporność
adults,dorośli ludzie
steam,para
kang,Kang
closely,dokładnie
pearl,Perła
soccer,piłka nożna
adrian,Adrian
priority,priorytet
shouts,krzyki
donald,Donald
happier,szczęśliwszy
khan,chan
struggling,zmagający się
root,źródło
larger,większy
november,Listopad
boot,uruchomić
conflict,konflikt
laughed,zaśmiał się
debbie,Debbie
cherry,wiśnia
honking,Honking
concerns,obawy
celebration,uroczystość
sore,obolały
unconscious,nieświadomy
cattle,bydło
breasts,piersi
fairly,raczej
fee,opłata
recognise,rozpoznać
wade,przebrnąć
radiation,promieniowanie
holidays,wakacje
raining,deszcz
forgetting,Zapominanie
lungs,płuca
register,rejestr
shadows,cienie
specifically,konkretnie
sarge,Sarge
ideal,ideał
turtle,żółw
spoil,zepsuć
deserved,zasłużony
ronnie,Ronnie
gina,Gina
candidate,kandydat
lance,lanca
types,typy
bloke,facet
explode,eksplodować
immediate,natychmiastowy
belonged,należał
identified,zidentyfikowane
di,di
hunger,głód
closest,najbliższy
combination,połączenie
nanny,niania
seth,Seth
gabriel,Gabriel
develop,rozwijać
detectives,detektywi
severe,ciężki : silny
en,en
organized,zorganizowany
franklin,Franklin
gut,jelito
splendid,znakomity
dismissed,zwolniony
pm,po południu
yang,Yang
halloween,Halloween
ellie,Ellie
vulnerable,wrażliwy
continued,nieprzerwany
vital,niezbędny
comrades,towarzysze
bureau,biuro
drawer,szuflada
harper,harfiarka
retreat,wycofać się
carson,Carson
benny,Benny
pillow,poduszka
troy,Troy
ace,as
cart,wózek
nap,drzemka
chan,Chan
ham,szynka
announce,ogłaszać
borrowed,pożyczone
parked,zaparkowany
galaxy,galaktyka
voted,głosował
muffled,stłumiony
sebastian,Sebastian
mmm-hmm,mmm-hmm
jewelry,biżuteria
kisses,Pocałunki
luggage,bagaż
groom,pan młody
oops,Ups
lighter,zapalniczka
masters,Mistrzowie
alliance,Sojusz
buddies,kumple
clothing,odzież
denied,zaprzeczony
drown,utopić
alike,zarówno
excellency,ekscelencja
relative,względny
photographs,zdjęcia
burger,burger
dough,ciasto
alicia,Alicia
wreck,wrak
approve,zatwierdzić
produced,wytworzony
christina,Christina
physically,fizycznie
stations,stacje
eli,Eli
samantha,Samantha
spiritual,duchowy
sire,rozpłodnik
roaring,ryk
stab,zasztyletować
inch,cal
servants,słudzy
limits,limity
unexpected,nieoczekiwany
arrival,przyjazd
whimpering,skomlanie
basket,kosz
sheets,pościel
scandal,skandal
stink,smród
homer,Homer
tara,Tara
christopher,Krzysztof
toes,palce u stóp
t-,T-
shield,tarcza
shooter,strzelec
instant,natychmiastowy
objects,obiekty
rehearsal,próba
disturbing,niepokojący
directed,skierowany
scan,skanowanie
electronic,elektroniczny
republic,republika
overnight,nocny
counsel,rada
sirens,Syren
dorothy,Dorota
bait,przynęta
dignity,godność
explains,wyjaśnia
lean,pochylać się
heroin,heroina
tracy,Tracy
rex,Rex
barney,Barney
gossip,plotki
humble,pokorny
economy,gospodarka
worlds,światy
impress,imponować
clara,Clara
tissue,tkanka
threaten,zagrozić
et,et
bump,uderzenie
supreme,najwyższy
bingo,Bingo
mitchell,Mitchell
excitement,podniecenie
mankind,ludzkość
document,dokument
broad,szeroki
vietnam,Wietnam
vessel,naczynie
lit,oświetlony
dale,dołek
killers,zabójcy
connor,Connor
mario,Mario
foul,faul
stare,gapić się
deaths,zgony
hut,Chata
elements,elementy
coma,śpiączka
laying,nośny
coffin,trumna
paula,Paula
cocaine,kokaina
puppy,szczeniak
louder,głośniejsza
handled,obsługiwane
announcement,ogłoszenie
oath,przysięga
mob,tłum
cotton,bawełna
deposit,depozyt
taxes,podatki
injuries,obrażenia
jen,Jen
autopsy,Sekcja zwłok
advise,radzić
gig,koncert
lecture,wykład
posted,Opublikowany
skinny,chudy
lo,lo
include,włączać
revealed,ujawnił
infected,zainfekowany
relieved,odciążony
assistance,wsparcie
solo,solo
determine,określić
terrorists,terroryści
elsewhere,gdzie indziej
lamp,lampa
practical,praktyczny
marked,wyraźny
adorable,uroczy
rubber,guma
purple,fioletowy
operating,operacyjny
suite,zestaw
apologies,Przeprosiny
personnel,personel
beam,Belka
poet,poeta
samples,próbki
arrow,strzałka
counselor,doradca
carpet,dywan
allen,Allen
audrey,Audrey
spotted,cętkowany
floating,Ruchomy
corrected,poprawione
located,usytuowany
journalist,dziennikarz
insisted,nalegał
operator,operator
rely,polegać
singh,Singh
fooled,oszukany
arrives,przybywa
i.d.,ID.
leon,Leon
walt,Walt
eastern,wschodni
ay,Tak
shave,golić się
remaining,pozostały
toss,podrzucenie
anderson,Anderson
lip,warga
acid,kwas
nora,Nora
si,si
december,grudzień
anonymous,anonimowy
inn,Zajazd
planted,posadzony
oldest,najstarszy
breast,pierś
sixth,szósty
error,błąd
reporting,raportowanie
egypt,Egipt
islands,Wyspy
brother-in-law,szwagier
jules,Jules
roommate,współlokator
sings,śpiewa
scum,szumowiny
visitor,gość
giggling,chichotanie
described,opisane
geez,Rany
inches,cale
commitment,zobowiązanie
hercules,Hercules
react,reagować
cows,krowy
protest,protest
misery,nieszczęście
theft,kradzież
embrace,uścisk
darn,cerować
harsh,szorstki
andrea,Andrea
communicate,komunikować się
fathers,Ojcowie
faithful,wierny
hector,zabijaka
uh-uh,uh-uh
flame,płomień
medal,medal
silk,jedwab
photographer,fotograf
trevor,Trevor
cemetery,cmentarz
rear,tył
freddy,Freddy
banana,banan
allison,Allison
emotion,emocja
chap,facet
dated,przestarzały
excuses,wymawianie się
shitty,Shitty
bin,kosz
jew,Żyd
gum,guma
crushed,zgnieciony
efforts,starania
content,treść
corporal,kapral
realised,realizowany
del,del
rap,kuks
hopeless,beznadziejny
debate,debata
era,era
luckily,na szczęście
ton,tona
liquid,płyn
swell,puchnąć
peggy,Peggy
feast,święto
murphy,Murphy
attracted,przyciągnięty
application,aplikacja
profession,zawód
bench,ławka
vanessa,Vanessa
ahem,Ahem
symptoms,objawy
scout,zwiadowca
crashed,rozbił się
keen,chętny
aircraft,samolot
formed,uformowane
hon,Hon
aggressive,agresywny
pale,blady
significant,istotne
duncan,Duncan
clubs,kluby
visual,wizualny
embassy,ambasada
defence,obrona
cabinet,gabinet
display,wyświetlacz
fame,sława
gibbs,Gibbs
drowned,utonął
wolves,Wilki
filming,filmowanie
dunno,nie wiem
cursed,przeklęty
twin,bliźniak
sorrow,smutek
vault,sklepienie
defeated,pokonany
watson,Watson
quote,cytat
penalty,kara
bargain,okazja
pepper,pieprz
speaker,głośnik
compare,porównywać
satan,szatan
helmet,kask
scar,blizna
copies,kopie
fuss,zamieszanie
envelope,koperta
perry,wino z gruszek
stinks,śmierdzi
african,afrykanin
arrangements,ustalenia
wished,życzyłem
honored,zaszczycony
believing,wierzący
discussed,omówione
assigned,przydzielony
rosa,Rosa
oven,piekarnik
jenna,Jenna
attacking,napadający
tin,cyna
sonic,dźwiękowy
collar,kołnierz
mere,sam
romeo,Romeo
belief,wiara
storage,składowanie
rusty,zardzewiały
psycho,Psycho
climbing,wspinaczka
melissa,melisa
fears,obawy
sum,suma
dedicated,dedykowane
ladder,drabina
alternative,alternatywny
raid,nalot
dining,jadalnia
ms,SM
corporate,zbiorowy
folk,Ludowy
jon,Jon
replaced,zastąpione
bailey,Bailey
un,un
heels,obcasy
duties,obowiązki
smarter,mądrzejszy
existed,istniał
surprising,zaskakujący
chess,szachy
requested,wymagany
cruise,rejs
primary,podstawowy
rhythm,rytm
drum,bęben
models,modele
motorcycle,motocykl
adopted,przyjęty
barrel,beczka
cargo,ładunek
planets,planety
shove,pchnięcie
wha,co
surprises,Niespodzianki
rosie,Rosie
dings,dings
trailer,przyczepa
cannon,armata
tables,tabele
arse,tyłek
ally,sprzymierzyć
lawrence,Lawrence
wee,maleńki
tapes,taśmy
dull,nudny
sandra,Sandra
teenage,nastolatek
kent,Kent
cooperate,współpracować
risks,ryzyko
dug,dójka
worthless,Bezwartościowy
arriving,przyjazd
kindness,życzliwość
ties,więzi
items,rzeczy
and-,I-
grip,chwyt
relations,relacje
rumor,plotka
skirt,spódnica
frog,żaba
paige,Paige
lloyd,Lloyd
claimed,przejęte
perfume,Perfumy
instrumental,instrumentalny
flames,płomienie
association,stowarzyszenie
loses,przegrywać
january,Styczeń
spike,kolec
israel,Izrael
eleven,jedenaście
gallery,Galeria
ginger,ożywić 
activities,zajęcia
iraq,Irak
boarding,abordaż
fist,pięść
stuffed,nadziewany
improve,poprawić
creation,kreacja
connie,Connie
infection,infekcja
strikes,Uderzenia
wiped,wytarte
tension,napięcie
whistles,gwizdy
kindly,uprzejmie
certificate,certyfikat
curtis,Curtis
bold,pogrubiony
threats,zagrożenia
claudia,Claudia
sid,Sid
twisted,skręcone
suspended,zawieszony
affected,dotknięty
envy,zazdrość
whale,wieloryb
dial,Wybierz
cameron,Cameron
martial,wojenny
controlled,kontrolowane
lung,płuco
nigga,czarnuch
coal,węgiel
upside,plus
imperial,cesarski
pam,Pam
paranoid,paranoidalny
signing,Podpisanie
congress,kongres
villa,willa
candles,świece
filling,pożywny
becky,Becky
comic,komiczny
faint,mdleć
recovery,powrót do zdrowia
volunteer,wolontariusz
tech,Tech
bleed,krwawić
positions,pozycje
cindy,Cindy
narrow,wąski
forbid,zakazać
stuart,Stuart
perspective,perspektywiczny
faced,twarz
neat,schludny
pierce,przebić
observe,przestrzegać
cycle,cykl
psychic,psychiczny
handling,obsługiwanie
goose,gęś
accidentally,przypadkowo
conclusion,wniosek
designer,projektant
sits,siedzi
importance,znaczenie
spots,kropki
francs,franki
sweep,zamiatać
destroying,niszczenie
communist,komunistyczny
blackmail,szantaż
pacific,Pacyfik
risky,ryzykowny
glorious,wspaniały
filed,wniesiony
hatred,nienawiść
cam,krzywka
deals,oferty
pos,poz
fooling,oszukanie
persons,osoby
scotch,Szkocka
executed,wykonany
brakes,hamulce
blank,pusty
tender,miękki
kurt,Kurt
turner,tokarz
tub,wanna
sucker,przyssawka
slight,niewielki
addition,dodatek
campus,kampus
ritual,rytuał
prey,ofiara
so-called,tak zwana
graduate,absolwent
anyways,W każdym razie
ew,ew
fry,smażyć
genuine,prawdziwy
ned,Ned
judging,oceniać
doubts,wątpienie
warden,opiekun
ceiling,sufit
practicing,praktykujący
somewhat,nieco
established,przyjęty
attempted,próba
zombie,bałwan
generations,pokolenia
yöu,Ty
gathering,zgromadzenie
warriors,Wojownicy
mick,Mick
electrical,elektryczny
collins,Collins
sobs,szlochanie
couples,pary
depend,zależeć
institute,instytut
miranda,Miranda
principle,zasada
fixing,ustalenie
therapist,terapeuta
compete,konkurować
compliment,komplement
worship,cześć
residence,rezydencja
democracy,demokracja
joel,Joel
published,opublikowany
myth,mit
helpless,bezradny
screwing,Prążło
kennedy,Kennedy
execution,wykonanie
appetite,apetyt
formal,formalny
strictly,rygorystycznie
sucked,ssany
tanks,czołgi
chickens,Kurczaki
gwen,Gwen
technical,techniczny
stella,Stella
rod,pręt
meets,spotyka się
shepherd,pasterz
brazil,Brazylia
brutal,brutalny
alison,Alison
vain,próżny
switched,przełączony
chi,Chi
deer,jeleń
brooklyn,Brooklyn
dresses,sukienki
retire,odchodzić
overcome,pokonać
inspiration,Inspiracja
cunt,cipka
benjamin,benzoes
nicky,Nicky
thrilled,zachwycony
tae,Tae
suggestion,sugestia
dummy,atrapa
sailor,marynarz
destination,miejsce docelowe
bass,bas
picnic,piknik
assholes,dupki
idol,idol
trucks,samochody ciężarowe
rank,ranga
denise,Denise
yu,yu
veronica,Veronica
blocked,zablokowany
strict,ścisły
hiya,Cześć
formula,formuła
clerk,urzędnik
samurai,samuraj
disturbed,zaniepokojony
vera,Vera
cafe,kawiarnia
wandering,wędrowny
consciousness,świadomość
val,val
nikki,Nikki
min,Min
bare,odsłonić
hans,Hans
caleb,Caleb
butcher,rzeźnik
arrangement,układ
chased,ścigane
ministry,ministerstwo
brandy,Brandy
sweater,sweter
boobs,piersi
locate,Znajdź
apologise,przepraszać
nazi,nazi
parole,zwolnienie warunkowe
examine,zbadać
trains,pociągi
candle,świeca
prior,wcześniejszy
stream,strumień
that-,To-
passage,przejście
reaching,docieranie
organ,organ
directions,wskazówki
asses,osły
outer,zewnętrzny
proves,udowadnia
morris,Morris
luxury,luksus
pistol,pistolet
v,v
losers,Przegrani
